book_id,tag_name,books_count,authors,original_publication_year,title,average_rating,work_ratings_count,work_text_reviews_count,tag_id
1,young adult,272,Suzanne Collins                                                               ,2008,"The Hunger Games (The Hunger Games, #1)                                                  ",4.3,4942365,155254,18
2,fantasy,491,"J.K. Rowling, Mary GrandPré                                                   ",1997,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)                                 ",4.4,4800065,75867,10
3,fantasy,226,Stephenie Meyer                                                               ,2005,"Twilight (Twilight, #1)                                                                  ",3.6,3916824,95009,10
4,classics,487,Harper Lee                                                                    ,1960,To Kill a Mockingbird                                                                    ,4.2,3340896,72586,5 
5,classics,1356,F. Scott Fitzgerald                                                           ,1925,The Great Gatsby                                                                         ,3.9,2773745,51992,5 
6,young adult,226,John Green                                                                    ,2012,The Fault in Our Stars                                                                   ,4.3,2478609,140739,18
7,fantasy,969,J.R.R. Tolkien                                                                ,1937,The Hobbit                                                                               ,4.2,2196809,37653,10
8,classics,360,J.D. Salinger                                                                 ,1951,The Catcher in the Rye                                                                   ,3.8,2120637,44920,5 
9,fiction,311,Dan Brown                                                                     ,2000,"Angels & Demons  (Robert Langdon, #1)                                                    ",3.9,2078754,25112,11
10,classics,3455,Jane Austen                                                                   ,1813,Pride and Prejudice                                                                      ,4.2,2191465,49152,5 
11,fiction,283,Khaled Hosseini                                                               ,2003,The Kite Runner                                                                          ,4.3,1878095,59730,11
12,young adult,210,Veronica Roth                                                                 ,2011,"Divergent (Divergent, #1)                                                                ",4.2,2216814,101023,18
13,fiction,995,"George Orwell, Erich Fromm, Celâl Üster                                       ",1949,1984                                                                                     ,4.1,2053394,45518,11
14,classics,896,George Orwell                                                                 ,1945,Animal Farm                                                                              ,3.9,1982987,35472,5 
15,nonfiction,710,"Anne Frank, Eleanor Roosevelt, B.M. Mooyaart-Doubleday                        ",1947,The Diary of a Young Girl                                                                ,4.1,2024493,20825,16
16,fiction,274,"Stieg Larsson, Reg Keeland                                                    ",2005,"The Girl with the Dragon Tattoo (Millennium, #1)                                         ",4.1,1929834,62543,11
