book_id,books_count,authors,original_publication_year,title,average_rating,work_ratings_count,work_text_reviews_count,tag_id,tag_name
1,272,Suzanne Collins,2008,The Hunger Games,4.34,4942365,155254,18,Young Adult
3,226,Stephenie Meyer,2005,Twilight,3.57,3916824,95009,10,Fantasy
6,226,John Green,2012,The Fault in Our Stars,4.26,2478609,140739,18,Young Adult
9,311,Dan Brown,2000,Angels & Demons,3.85,2078754,25112,11,Fiction
11,283,Khaled Hosseini,2003,The Kite Runner,4.26,1878095,59730,11,Fiction
12,210,Veronica Roth,2011,Divergent,4.24,2216814,101023,18,Young Adult
16,274,"Stieg Larsson,Reg Keeland",2005,The Girl with the Dragon Tattoo,4.11,1929834,62543,11,Fiction
17,201,Suzanne Collins,2009,Catching Fire,4.3,1988079,88538,18,Young Adult
20,239,Suzanne Collins,2010,Mockingjay,4.03,1870748,96274,18,Young Adult
21,307,"J.K. Rowling,Mary GrandPré",2003,Harry Potter and the Order of the Phoenix,4.46,1840548,28685,10,Fantasy
22,183,Alice Sebold,2002,The Lovely Bones,3.77,1661562,36642,11,Fiction
24,332,"J.K. Rowling,Mary GrandPré",2000,Harry Potter and the Goblet of Fire,4.53,1868642,31084,10,Fantasy
25,263,"J.K. Rowling,Mary GrandPré",2007,Harry Potter and the Deathly Hallows,4.61,1847395,51942,10,Fantasy
26,350,Dan Brown,2003,The Da Vinci Code,3.79,1557292,41560,11,Fiction
27,275,"J.K. Rowling,Mary GrandPré",2005,Harry Potter and the Half-Blood Prince,4.54,1785676,27520,10,Fantasy
30,196,Gillian Flynn,2012,Gone Girl,4.03,1626519,121614,15,Mystery
31,183,Kathryn Stockett,2009,The Help,4.45,1603545,78204,11,Fiction
34,169,E.L. James,2011,Fifty Shades of Grey,3.67,1436818,75437,17,Romance
38,167,Audrey Niffenegger,2003,The Time Traveler`s Wife,3.95,1308667,43382,11,Fiction
40,185,Elizabeth Gilbert,2006,"Eat,Pray,Love",3.51,1206597,49714,16,Nonfiction
41,159,Rick Riordan,2005,The Lightning Thief,4.23,1411114,46006,10,Fantasy
45,264,Yann Martel,2001,Life of Pi,3.88,1077431,42962,11,Fiction
46,128,Sara Gruen,2006,Water for Elephants,4.07,1108839,55732,11,Fiction
47,251,Markus Zusak,2005,The Book Thief,4.36,1287798,93611,11,Fiction
49,194,Stephenie Meyer,2006,New Moon,3.52,1199000,44020,18,Young Adult
51,178,Cassandra Clare,2007,City of Bones,4.12,1241799,51589,18,Young Adult
52,185,Stephenie Meyer,2007,Eclipse,3.69,1176642,35216,18,Young Adult
53,217,Christopher Paolini,2002,Eragon,3.86,1125231,18280,10,Fantasy
56,183,Stephenie Meyer,2008,Breaking Dawn,3.7,1107709,44550,10,Fantasy
57,125,Sue Monk Kidd,2001,The Secret Life of Bees,4.01,937393,26522,11,Fiction
60,183,Mark Haddon,2003,The Curious Incident of the Dog in the Night-Time,3.85,915790,35796,11,Fiction
61,14,Paula Hawkins,2015,The Girl on the Train,3.88,1226485,93600,15,Mystery
64,125,Jodi Picoult,2004,My Sister`s Keeper,4.06,887880,30719,11,Fiction
67,197,Khaled Hosseini,2007,A Thousand Splendid Suns,4.34,866065,43645,11,Fiction
69,164,Veronica Roth,2012,Insurgent,4.07,947338,55873,18,Young Adult
73,161,Stephenie Meyer,2008,The Host,3.84,777560,39778,25,Science Fiction
74,187,John Green,2005,Looking for Alaska,4.09,831285,47128,18,Young Adult
78,129,Lauren Weisberger,2003,The Devil Wears Prada,3.7,679845,8024,11,Fiction
81,92,Jeannette Walls,2005,The Glass Castle,4.24,637866,40777,16,Nonfiction
88,178,John Green,2008,Paper Towns,3.88,655271,42717,18,Young Adult
91,147,James Dashner,2009,The Maze Runner,4.02,777956,48942,18,Young Adult
92,124,"Steven D. Levitt,Stephen J. Dubner",2005,Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,3.93,549301,13668,16,Nonfiction
96,133,E.L. James,2012,Fifty Shades Freed,3.88,610116,25287,17,Romance
98,209,"Stieg Larsson,Reg Keeland",2006,The Girl Who Played with Fire,4.22,649253,31423,11,Fiction
99,147,E.L. James,2011,Fifty Shades Darker,3.87,623340,28052,17,Romance
101,59,David Sedaris,2000,Me Talk Pretty One Day,3.97,514276,14982,16,Nonfiction
104,181,Cormac McCarthy,2006,The Road,3.95,555787,38980,11,Fiction
105,153,Veronica Roth,2013,Allegiant,3.63,663226,62536,18,Young Adult
