book_id,books_count,authors,original_publication_year,title,average_rating,work_ratings_count,work_text_reviews_count,tag_id,tag_name,ranking
1,272,Suzanne Collins,2008,"The Hunger Games (The Hunger Games,#1)",4.34,4942365,155254,18,Young Adult,1
3,226,Stephenie Meyer,2005,"Twilight (Twilight,#1)",3.57,3916824,95009,10,Fantasy,2
6,226,John Green,2012,The Fault in Our Stars,4.26,2478609,140739,18,Young Adult,3
9,311,Dan Brown,2000,"Angels & Demons  (Robert Langdon,#1)",3.85,2078754,25112,11,Fiction,5
11,283,Khaled Hosseini,2003,The Kite Runner,4.26,1878095,59730,11,Fiction,8
12,210,Veronica Roth,2011,"Divergent (Divergent,#1)",4.24,2216814,101023,18,Young Adult,4
16,274,"Stieg Larsson,Reg Keeland",2005,"The Girl with the Dragon Tattoo (Millennium,#1)",4.11,1929834,62543,11,Fiction,7
17,201,Suzanne Collins,2009,"Catching Fire (The Hunger Games,#2)",4.3,1988079,88538,18,Young Adult,6
20,239,Suzanne Collins,2010,"Mockingjay (The Hunger Games,#3)",4.03,1870748,96274,18,Young Adult,9
21,307,"J.K. Rowling,Mary GrandPré",2003,"Harry Potter and the Order of the Phoenix (Harry Potter,#5)",4.46,1840548,28685,10,Fantasy,12
22,183,Alice Sebold,2002,The Lovely Bones,3.77,1661562,36642,11,Fiction,14
24,332,"J.K. Rowling,Mary GrandPré",2000,"Harry Potter and the Goblet of Fire (Harry Potter,#4)",4.53,1868642,31084,10,Fantasy,10
25,263,"J.K. Rowling,Mary GrandPré",2007,"Harry Potter and the Deathly Hallows (Harry Potter,#7)",4.61,1847395,51942,10,Fantasy,11
26,350,Dan Brown,2003,"The Da Vinci Code (Robert Langdon,#2)",3.79,1557292,41560,11,Fiction,17
27,275,"J.K. Rowling,Mary GrandPré",2005,"Harry Potter and the Half-Blood Prince (Harry Potter,#6)",4.54,1785676,27520,10,Fantasy,13
30,196,Gillian Flynn,2012,Gone Girl,4.03,1626519,121614,15,Mystery,15
31,183,Kathryn Stockett,2009,The Help,4.45,1603545,78204,11,Fiction,16
34,169,E.L. James,2011,"Fifty Shades of Grey (Fifty Shades,#1)",3.67,1436818,75437,17,Romance,18
38,167,Audrey Niffenegger,2003,The Time Traveler`s Wife,3.95,1308667,43382,11,Fiction,20
40,185,Elizabeth Gilbert,2006,"Eat,Pray,Love",3.51,1206597,49714,16,Nonfiction,24
41,159,Rick Riordan,2005,"The Lightning Thief (Percy Jackson and the Olympians,#1)",4.23,1411114,46006,10,Fantasy,19
45,264,Yann Martel,2001,Life of Pi,3.88,1077431,42962,11,Fiction,30
46,128,Sara Gruen,2006,Water for Elephants,4.07,1108839,55732,11,Fiction,28
47,251,Markus Zusak,2005,The Book Thief,4.36,1287798,93611,11,Fiction,21
49,194,Stephenie Meyer,2006,"New Moon (Twilight,#2)",3.52,1199000,44020,18,Young Adult,25
51,178,Cassandra Clare,2007,"City of Bones (The Mortal Instruments,#1)",4.12,1241799,51589,18,Young Adult,22
52,185,Stephenie Meyer,2007,"Eclipse (Twilight,#3)",3.69,1176642,35216,18,Young Adult,26
53,217,Christopher Paolini,2002,"Eragon (The Inheritance Cycle,#1)",3.86,1125231,18280,10,Fantasy,27
56,183,Stephenie Meyer,2008,"Breaking Dawn (Twilight,#4)",3.7,1107709,44550,10,Fantasy,29
57,125,Sue Monk Kidd,2001,The Secret Life of Bees,4.01,937393,26522,11,Fiction,32
60,183,Mark Haddon,2003,The Curious Incident of the Dog in the Night-Time,3.85,915790,35796,11,Fiction,33
61,14,Paula Hawkins,2015,The Girl on the Train,3.88,1226485,93600,15,Mystery,23
64,125,Jodi Picoult,2004,My Sister`s Keeper,4.06,887880,30719,11,Fiction,34
67,197,Khaled Hosseini,2007,A Thousand Splendid Suns,4.34,866065,43645,11,Fiction,35
69,164,Veronica Roth,2012,"Insurgent (Divergent,#2)",4.07,947338,55873,18,Young Adult,31
73,161,Stephenie Meyer,2008,"The Host (The Host,#1)",3.84,777560,39778,25,Science Fiction,38
74,187,John Green,2005,Looking for Alaska,4.09,831285,47128,18,Young Adult,36
78,129,Lauren Weisberger,2003,"The Devil Wears Prada (The Devil Wears Prada,#1)",3.7,679845,8024,11,Fiction,40
81,92,Jeannette Walls,2005,The Glass Castle,4.24,637866,40777,16,Nonfiction,45
88,178,John Green,2008,Paper Towns,3.88,655271,42717,18,Young Adult,43
91,147,James Dashner,2009,"The Maze Runner (Maze Runner,#1)",4.02,777956,48942,18,Young Adult,37
92,124,"Steven D. Levitt,Stephen J. Dubner",2005,"Freakonomics: A Rogue Economist Explores the Hidden Side of Everything (Freakonomics,#1)",3.93,549301,13668,16,Nonfiction,59
96,133,E.L. James,2012,"Fifty Shades Freed (Fifty Shades,#3)",3.88,610116,25287,17,Romance,48
98,209,"Stieg Larsson,Reg Keeland",2006,"The Girl Who Played with Fire (Millennium,#2)",4.22,649253,31423,11,Fiction,44
99,147,E.L. James,2011,"Fifty Shades Darker (Fifty Shades,#2)",3.87,623340,28052,17,Romance,47
101,59,David Sedaris,2000,Me Talk Pretty One Day,3.97,514276,14982,16,Nonfiction,71
104,181,Cormac McCarthy,2006,The Road,3.95,555787,38980,11,Fiction,57
105,153,Veronica Roth,2013,"Allegiant (Divergent,#3)",3.63,663226,62536,18,Young Adult,42
106,48,Tina Fey,2011,Bossypants,3.94,609260,35142,16,Nonfiction,49
108,144,Sophie Kinsella,2000,"Confessions of a Shopaholic (Shopaholic,#1)",3.61,558004,11170,11,Fiction,55
111,98,Kim Edwards,2005,The Memory Keeper`s Daughter,3.64,510582,18027,11,Fiction,72
112,168,Jojo Moyes,2012,"Me Before You (Me Before You,#1)",4.27,741133,71412,11,Fiction,39
115,125,Jeffrey Eugenides,2002,Middlesex,3.98,507998,20880,11,Fiction,73
120,93,Ann Brashares,2001,"The Sisterhood of the Traveling Pants (Sisterhood,#1)",3.75,536604,6477,18,Young Adult,63
124,151,Emma Donoghue,2010,Room,4.03,556327,42254,11,Fiction,56
127,100,Malcolm Gladwell,2000,The Tipping Point: How Little Things Can Make a Big Difference,3.92,499066,10895,16,Nonfiction,75
128,190,Walter Isaacson,2011,Steve Jobs,4.09,579256,15198,3,Biography,52
132,123,Mitch Albom,2003,The Five People You Meet in Heaven,3.9,474699,16682,11,Fiction,81
134,122,Cassandra Clare,2009,"City of Glass (The Mortal Instruments,#3)",4.34,630560,22736,10,Fantasy,46
135,175,George R.R. Martin,2000,"A Storm of Swords (A Song of Ice and Fire,#3)",4.54,527644,19497,10,Fantasy,67
139,155,Ransom Riggs,2011,"Miss Peregrine’s Home for Peculiar Children (Miss Peregrine’s Peculiar Children,#1)",3.89,672222,53569,10,Fantasy,41
140,193,"Stieg Larsson,Reg Keeland",2007,"The Girl Who Kicked the Hornet`s Nest (Millennium,#3)",4.2,526791,26766,11,Fiction,68
141,148,Andy Weir,2012,The Martian,4.39,529702,61298,10,Fantasy,65
143,139,Anthony Doerr,2014,All the Light We Cannot See,4.31,547827,53413,11,Fiction,60
144,16,Laura Hillenbrand,2010,"Unbroken: A World War II Story of Survival,Resilience,and Redemption",4.4,528552,41572,16,Nonfiction,66
145,180,Dan Brown,2001,Deception Point,3.67,479733,7798,11,Fiction,79
146,108,Donna Tartt,2013,The Goldfinch,3.87,463847,44631,11,Fiction,83
147,150,Jay Asher,2007,Thirteen Reasons Why,4.02,571281,43467,11,Fiction,53
149,130,Gayle Forman,2009,"If I Stay (If I Stay,#1)",3.96,567087,34959,18,Young Adult,54
151,121,Rick Riordan,2006,"The Sea of Monsters (Percy Jackson and the Olympians,#2)",4.23,550512,20097,10,Fantasy,58
152,111,Nicholas Sparks,2006,Dear John,4.01,454781,10626,17,Romance,87
153,125,Cassandra Clare,2008,"City of Ashes (The Mortal Instruments,#2)",4.21,586008,23643,10,Fantasy,50
156,65,Emily Giffin,2004,"Something Borrowed (Darcy & Rachel,#1)",3.83,435189,11567,17,Romance,94
159,92,Rick Riordan,2008,"The Battle of the Labyrinth (Percy Jackson and the Olympians,#4)",4.39,537708,14098,10,Fantasy,62
163,72,Rick Riordan,2010,"The Lost Hero (The Heroes of Olympus,#1)",4.35,489495,17107,10,Fantasy,76
164,103,Rainbow Rowell,2013,Eleanor & Park,4.11,579753,53005,18,Young Adult,51
165,176,George R.R. Martin,2005,"A Feast for Crows (A Song of Ice and Fire,#4)",4.1,481130,18876,10,Fantasy,78
166,84,Ally Condie,2010,"Matched (Matched,#1)",3.68,530680,30226,18,Young Adult,64
167,196,Neil Gaiman,2001,"American Gods (American Gods,#1)",4.11,518343,27587,10,Fantasy,69
169,95,Nicholas Sparks,2008,The Last Song,4.14,438429,11051,17,Romance,92
174,134,William Paul Young,2007,The Shack,3.74,438292,29377,11,Fiction,93
175,87,Rick Riordan,2009,"The Last Olympian (Percy Jackson and the Olympians,#5)",4.5,499510,17693,10,Fantasy,74
182,119,"Kami Garcia,Margaret Stohl",2009,"Beautiful Creatures (Caster Chronicles,#1)",3.76,458518,20808,10,Fantasy,85
183,103,Cassandra Clare,2010,"Clockwork Angel (The Infernal Devices,#1)",4.33,515759,24385,10,Fantasy,70
185,119,Erin Morgenstern,2011,The Night Circus,4.03,474826,54008,10,Fantasy,80
186,111,Philippa Gregory,2001,"The Other Boleyn Girl (The Plantagenet and Tudor Novels,#9)",4.04,399223,15846,11,Fiction,102
187,98,Scott Westerfeld,2005,"Uglies (Uglies,#1)",3.86,464589,21234,18,Young Adult,82
188,115,George R.R. Martin,2011,"A Dance with Dragons (A Song of Ice and Fire,#5)",4.31,424618,20072,10,Fantasy,95
190,101,Cheryl Strayed,2012,Wild: From Lost to Found on the Pacific Crest Trail,3.96,420903,34444,16,Nonfiction,98
192,123,Patrick Rothfuss,2007,"The Name of the Wind (The Kingkiller Chronicle,#1)",4.55,449372,28631,10,Fantasy,89
193,120,Malcolm Gladwell,2008,Outliers: The Story of Success,4.11,369126,19383,16,Nonfiction,114
195,116,"Mary Ann Shaffer,Annie Barrows",2008,The Guernsey Literary and Potato Peel Pie Society,4.12,423672,39853,11,Fiction,96
197,109,Charlaine Harris,2001,"Dead Until Dark (Sookie Stackhouse,#1)",3.96,444824,16818,10,Fantasy,90
199,119,John Grogan,2005,Marley and Me: Life and Love With the World`s Worst Dog,4.12,379348,13407,16,Nonfiction,107
201,208,Dan Brown,2009,"The Lost Symbol (Robert Langdon,#3)",3.66,404982,24199,11,Fiction,100
202,91,Becca Fitzpatrick,2009,"Hush,Hush (Hush,Hush,#1)",4,461802,21871,18,Young Adult,84
203,85,Jamie McGuire,2011,"Beautiful Disaster (Beautiful,#1)",4.15,442696,25298,17,Romance,91
206,93,Kiera Cass,2012,"The Selection (The Selection,#1)",4.15,539091,35681,18,Young Adult,61
208,66,Rebecca Skloot,2010,The Immortal Life of Henrietta Lacks,4.04,404440,28624,16,Nonfiction,101
210,132,Richelle Mead,2007,"Vampire Academy (Vampire Academy,#1)",4.14,455151,19720,10,Fantasy,86
211,116,Malcolm Gladwell,2005,Blink: The Power of Thinking Without Thinking,3.89,360338,12215,16,Nonfiction,116
212,155,Ian McEwan,2001,Atonement,3.88,365658,14815,11,Fiction,115
214,94,Rick Riordan,2007,"The Titan`s Curse (Percy Jackson and the Olympians,#3)",4.33,486262,15418,10,Fantasy,77
215,112,Ernest Cline,2011,Ready Player One,4.31,421819,52120,25,Science Fiction,97
216,90,Garth Stein,2006,The Art of Racing in the Rain,4.19,354319,32021,11,Fiction,118
217,70,"Erik Larson,Tony Goldwyn",2003,"The Devil in the White City: Murder,Magic,and Madness at the Fair That Changed America",3.98,350607,25846,16,Nonfiction,121
218,96,Sylvia Day,2012,"Bared to You (Crossfire,#1)",4.19,386136,16748,17,Romance,106
223,163,Eoin Colfer,2001,"Artemis Fowl (Artemis Fowl,#1)",3.82,399165,8384,10,Fantasy,103
224,97,Lauren Kate,2009,"Fallen (Fallen,#1)",3.74,408108,17725,18,Young Adult,99
226,131,Gillian Flynn,2009,Dark Places,3.92,386607,28784,15,Mystery,105
228,84,"Emma McLaughlin,Nicola Kraus",2002,"The Nanny Diaries (Nanny,#1)",3.4,328073,5121,11,Fiction,130
231,117,Tatiana de Rosnay,2007,Sarah`s Key,4.14,347631,26614,11,Fiction,122
235,95,Liane Moriarty,2013,The Husband`s Secret,3.92,351805,27610,11,Fiction,120
238,79,Augusten Burroughs,2002,Running with Scissors,3.7,306388,11601,16,Nonfiction,144
239,137,Max Brooks,2006,World War Z: An Oral History of the Zombie War,4.01,345149,22412,31,Horror,126
240,235,Dan Brown,2013,"Inferno (Robert Langdon,#4)",3.8,345560,33700,11,Fiction,125
244,136,Gillian Flynn,2006,Sharp Objects,3.92,354838,28268,15,Mystery,117
246,97,"P.C. Cast,Kristin Cast",2007,"Marked (House of Night,#1)",3.79,371020,12870,18,Young Adult,112
249,104,Jonathan Safran Foer,2005,Extremely Loud and Incredibly Close,3.97,319116,21107,11,Fiction,138
250,124,R.J. Palacio,2012,Wonder,4.43,377791,43021,11,Fiction,108
