book_id,books_count,authors,original_publication_year,title,average_rating,work_ratings_count,work_text_reviews_count,tag_id,tag_name
1,272,Suzanne Collins,2008,"The Hunger Games (The Hunger Games,#1)",4.34,4942365,155254,18,Young Adult
3,226,Stephenie Meyer,2005,"Twilight (Twilight,#1)",3.57,3916824,95009,10,Fantasy
6,226,John Green,2012,The Fault in Our Stars,4.26,2478609,140739,18,Young Adult
9,311,Dan Brown,2000,"Angels & Demons  (Robert Langdon,#1)",3.85,2078754,25112,11,Fiction
11,283,Khaled Hosseini,2003,The Kite Runner,4.26,1878095,59730,11,Fiction
12,210,Veronica Roth,2011,"Divergent (Divergent,#1)",4.24,2216814,101023,18,Young Adult
16,274,"Stieg Larsson,Reg Keeland",2005,"The Girl with the Dragon Tattoo (Millennium,#1)",4.11,1929834,62543,11,Fiction
17,201,Suzanne Collins,2009,"Catching Fire (The Hunger Games,#2)",4.3,1988079,88538,18,Young Adult
20,239,Suzanne Collins,2010,"Mockingjay (The Hunger Games,#3)",4.03,1870748,96274,18,Young Adult
21,307,"J.K. Rowling,Mary GrandPré",2003,"Harry Potter and the Order of the Phoenix (Harry Potter,#5)",4.46,1840548,28685,10,Fantasy
22,183,Alice Sebold,2002,The Lovely Bones,3.77,1661562,36642,11,Fiction
24,332,"J.K. Rowling,Mary GrandPré",2000,"Harry Potter and the Goblet of Fire (Harry Potter,#4)",4.53,1868642,31084,10,Fantasy
25,263,"J.K. Rowling,Mary GrandPré",2007,"Harry Potter and the Deathly Hallows (Harry Potter,#7)",4.61,1847395,51942,10,Fantasy
26,350,Dan Brown,2003,"The Da Vinci Code (Robert Langdon,#2)",3.79,1557292,41560,11,Fiction
27,275,"J.K. Rowling,Mary GrandPré",2005,"Harry Potter and the Half-Blood Prince (Harry Potter,#6)",4.54,1785676,27520,10,Fantasy
30,196,Gillian Flynn,2012,Gone Girl,4.03,1626519,121614,15,Mystery
31,183,Kathryn Stockett,2009,The Help,4.45,1603545,78204,11,Fiction
