title,authors,original_publication_year,average_rating,tag_id,book_id,books_count,work_ratings_count,work_text_reviews_count,tag_name
"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,2008,4.34,18,1,272,4942365,155254,Young Adult
"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)","J.K. Rowling, Mary GrandPré",1997,4.44,10,2,491,4800065,75867,Fantasy
"Twilight (Twilight, #1)",Stephenie Meyer,2005,3.57,10,3,226,3916824,95009,Fantasy
To Kill a Mockingbird,Harper Lee,1960,4.25,5,4,487,3340896,72586,Classics
The Fault in Our Stars,John Green,2012,4.26,18,6,226,2478609,140739,Young Adult
The Catcher in the Rye,J.D. Salinger,1951,3.79,5,8,360,2120637,44920,Classics
"Angels & Demons  (Robert Langdon, #1)",Dan Brown,2000,3.85,11,9,311,2078754,25112,Fiction
The Kite Runner,Khaled Hosseini,2003,4.26,11,11,283,1878095,59730,Fiction
"Divergent (Divergent, #1)",Veronica Roth,2011,4.24,18,12,210,2216814,101023,Young Adult
"The Girl with the Dragon Tattoo (Millennium, #1)","Stieg Larsson, Reg Keeland",2005,4.11,11,16,274,1929834,62543,Fiction
"Catching Fire (The Hunger Games, #2)",Suzanne Collins,2009,4.3,18,17,201,1988079,88538,Young Adult
"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)","J.K. Rowling, Mary GrandPré, Rufus Beck",1999,4.53,10,18,376,1969375,36099,Fantasy
"The Fellowship of the Ring (The Lord of the Rings, #1)",J.R.R. Tolkien,1954,4.34,10,19,566,1832541,15333,Fantasy
"Mockingjay (The Hunger Games, #3)",Suzanne Collins,2010,4.03,18,20,239,1870748,96274,Young Adult
"Harry Potter and the Order of the Phoenix (Harry Potter, #5)","J.K. Rowling, Mary GrandPré",2003,4.46,10,21,307,1840548,28685,Fantasy
The Lovely Bones,Alice Sebold,2002,3.77,11,22,183,1661562,36642,Fiction
"Harry Potter and the Chamber of Secrets (Harry Potter, #2)","J.K. Rowling, Mary GrandPré",1998,4.37,10,23,398,1906199,34172,Fantasy
"Harry Potter and the Goblet of Fire (Harry Potter, #4)","J.K. Rowling, Mary GrandPré",2000,4.53,10,24,332,1868642,31084,Fantasy
"Harry Potter and the Deathly Hallows (Harry Potter, #7)","J.K. Rowling, Mary GrandPré",2007,4.61,10,25,263,1847395,51942,Fantasy
"The Da Vinci Code (Robert Langdon, #2)",Dan Brown,2003,3.79,11,26,350,1557292,41560,Fiction
"Harry Potter and the Half-Blood Prince (Harry Potter, #6)","J.K. Rowling, Mary GrandPré",2005,4.54,10,27,275,1785676,27520,Fantasy
Lord of the Flies,William Golding,1954,3.64,5,28,458,1671484,26886,Classics
Gone Girl,Gillian Flynn,2012,4.03,15,30,196,1626519,121614,Mystery
The Help,Kathryn Stockett,2009,4.45,11,31,183,1603545,78204,Fiction
Memoirs of a Geisha,Arthur Golden,1997,4.08,11,33,220,1418172,25605,Fiction
