book_id,books_count,authors,original_publication_year,title,average_rating,work_ratings_count,work_text_reviews_count,tag_id,tag_name,ranking
1,272,Suzanne Collins,2008,"The Hunger Games (The Hunger Games,#1)",4.34,4942365,155254,18,Young Adult,1
2,491,"J.K. Rowling,Mary GrandPré",1997,"Harry Potter and the Sorcerer`s Stone (Harry Potter,#1)",4.44,4800065,75867,10,Fantasy,2
3,226,Stephenie Meyer,2005,"Twilight (Twilight,#1)",3.57,3916824,95009,10,Fantasy,3
4,487,Harper Lee,1960,To Kill a Mockingbird,4.25,3340896,72586,5,Classics,4
6,226,John Green,2012,The Fault in Our Stars,4.26,2478609,140739,18,Young Adult,5
8,360,J.D. Salinger,1951,The Catcher in the Rye,3.79,2120637,44920,5,Classics,7
9,311,Dan Brown,2000,"Angels & Demons  (Robert Langdon,#1)",3.85,2078754,25112,11,Fiction,8
11,283,Khaled Hosseini,2003,The Kite Runner,4.26,1878095,59730,11,Fiction,13
12,210,Veronica Roth,2011,"Divergent (Divergent,#1)",4.24,2216814,101023,18,Young Adult,6
16,274,"Stieg Larsson,Reg Keeland",2005,"The Girl with the Dragon Tattoo (Millennium,#1)",4.11,1929834,62543,11,Fiction,11
17,201,Suzanne Collins,2009,"Catching Fire (The Hunger Games,#2)",4.3,1988079,88538,18,Young Adult,9
18,376,"J.K. Rowling,Mary GrandPré,Rufus Beck",1999,"Harry Potter and the Prisoner of Azkaban (Harry Potter,#3)",4.53,1969375,36099,10,Fantasy,10
19,566,J.R.R. Tolkien,1954,"The Fellowship of the Ring (The Lord of the Rings,#1)",4.34,1832541,15333,10,Fantasy,18
20,239,Suzanne Collins,2010,"Mockingjay (The Hunger Games,#3)",4.03,1870748,96274,18,Young Adult,14
21,307,"J.K. Rowling,Mary GrandPré",2003,"Harry Potter and the Order of the Phoenix (Harry Potter,#5)",4.46,1840548,28685,10,Fantasy,17
22,183,Alice Sebold,2002,The Lovely Bones,3.77,1661562,36642,11,Fiction,21
23,398,"J.K. Rowling,Mary GrandPré",1998,"Harry Potter and the Chamber of Secrets (Harry Potter,#2)",4.37,1906199,34172,10,Fantasy,12
24,332,"J.K. Rowling,Mary GrandPré",2000,"Harry Potter and the Goblet of Fire (Harry Potter,#4)",4.53,1868642,31084,10,Fantasy,15
25,263,"J.K. Rowling,Mary GrandPré",2007,"Harry Potter and the Deathly Hallows (Harry Potter,#7)",4.61,1847395,51942,10,Fantasy,16
26,350,Dan Brown,2003,"The Da Vinci Code (Robert Langdon,#2)",3.79,1557292,41560,11,Fiction,25
27,275,"J.K. Rowling,Mary GrandPré",2005,"Harry Potter and the Half-Blood Prince (Harry Potter,#6)",4.54,1785676,27520,10,Fantasy,19
28,458,William Golding,1954,Lord of the Flies,3.64,1671484,26886,5,Classics,20
30,196,Gillian Flynn,2012,Gone Girl,4.03,1626519,121614,15,Mystery,22
31,183,Kathryn Stockett,2009,The Help,4.45,1603545,78204,11,Fiction,23
33,220,Arthur Golden,1997,Memoirs of a Geisha,4.08,1418172,25605,11,Fiction,28
34,169,E.L. James,2011,"Fifty Shades of Grey (Fifty Shades,#1)",3.67,1436818,75437,17,Romance,27
35,458,"Paulo Coelho,Alan R. Clarke",1988,The Alchemist,3.82,1403995,55781,11,Fiction,30
36,192,Lois Lowry,1993,"The Giver (The Giver,#1)",4.12,1345445,54084,11,Fiction,31
37,474,C.S. Lewis,1950,"The Lion,the Witch,and the Wardrobe (Chronicles of Narnia,#1)",4.19,1584884,15186,10,Fantasy,24
38,167,Audrey Niffenegger,2003,The Time Traveler`s Wife,3.95,1308667,43382,11,Fiction,32
39,101,George R.R. Martin,1996,"A Game of Thrones (A Song of Ice and Fire,#1)",4.45,1442220,46205,11,Fiction,26
40,185,Elizabeth Gilbert,2006,"Eat,Pray,Love",3.51,1206597,49714,16,Nonfiction,36
41,159,Rick Riordan,2005,"The Lightning Thief (Percy Jackson and the Olympians,#1)",4.23,1411114,46006,10,Fantasy,29
44,190,Nicholas Sparks,1996,"The Notebook (The Notebook,#1)",4.06,1076749,17279,11,Fiction,45
45,264,Yann Martel,2001,Life of Pi,3.88,1077431,42962,11,Fiction,44
46,128,Sara Gruen,2006,Water for Elephants,4.07,1108839,55732,11,Fiction,41
